frequency_ghz,cold_load,hot_load
0.076171875,348176530.948333323,354264959.428333342
0.076416016,346807955.201111138,352928250.833333313
0.076660156,345641963.194444418,351809199.306666672
0.076904297,344700051.368333340,350780178.038888872
0.077148438,343692692.004999995,349760267.348888874
0.077392578,342776693.761111140,348800023.857222199
0.077636719,341823134.620555580,347831708.759444416
0.077880859,344228008.286666691,350731798.686666667
0.078125000,360216031.723888874,369267728.735000014
0.078369141,342554700.672222197,349086027.272222221
0.078613281,338698774.590555549,344568907.969444454
0.078857422,338165528.205555558,344041293.076111138
0.079101562,337752621.152222216,343632860.697777748
0.079345703,337549191.514444470,343421940.230000019
0.079589844,337501286.313333333,343292714.241111100
0.079833984,363496230.334444463,373336337.531666696
0.080078125,385622773.607777774,399043159.557777762
0.080322266,338419022.808888912,344533161.106666684
0.080566406,335122857.607222199,340854862.413888872
0.080810547,333563735.890555561,339285427.274444461
0.081054688,331738634.031111121,337424810.923333347
0.081298828,329878210.427222252,335600694.002777755
0.081542969,327984108.029999971,333663134.311666667
0.081787109,326297629.400555551,332037736.348888874
0.082031250,325480367.128333330,331258119.790555537
0.082275391,323533652.464444458,329293884.216666639
0.082519531,322277180.873888910,328001729.586111128
0.082763672,321166892.007777750,326859440.558888912
0.083007812,320114529.633333325,325784664.568888903
0.083251953,319146749.814999998,324822613.997777760
0.083496094,318181627.531111121,323886513.452777803
0.083740234,317333361.198333323,323036291.252222240
0.083984375,316672285.297777772,322372219.125000000
0.084228516,315621761.191666663,321256539.326111138
0.084472656,314791148.281666696,320442562.904999971
0.084716797,314108353.042777777,319731215.536111116
0.084960938,313376910.871111095,319003555.577222228
0.085205078,312632381.165555537,318298802.858888865
0.085449219,311932734.588888884,317528099.284444451
0.085693359,311247776.887222230,316866151.547777772
0.085937500,311386222.880555570,316962694.337777793
0.086181641,309726191.944444418,315302815.809444427
0.086425781,308991646.603888869,314611485.421111107
0.086669922,308355879.605000019,313971192.430000007
0.086914062,307693003.290555537,313270214.061111093
0.087158203,306992483.557777762,312571945.167777777
0.087402344,306281412.761666656,311831774.739444435
0.087646484,305642189.814444423,311166458.235000014
0.087890625,305168242.982777774,310717058.820555568
0.088134766,304388655.394999981,309863159.485000014
0.088378906,303679831.808333337,309188970.875000000
0.088623047,303044082.888333321,308521690.127222240
0.088867188,302370055.748888910,307846568.902777791
0.089111328,301742008.576666653,307236286.648333311
0.089355469,301091865.253888905,306586406.113888860
0.089599609,300467788.868888915,305949913.240000010
0.089843750,300706006.517777801,306162263.595555544
0.090087891,299770694.930555582,305152660.989444435
0.090332031,298919952.811666667,304403868.210555553
0.090576172,298444722.295555532,303891016.559444427
0.090820312,297941784.168888867,303332049.358888865
0.091064453,297437322.556666672,302865060.183333337
0.091308594,296917263.053888917,302294500.343888879
0.091552734,296395723.126666665,301799949.865555584
0.091796875,296076914.832222223,301489305.454444468
0.092041016,295402280.828333318,300820406.355555534
0.092285156,294991169.353333354,300333018.873888910
0.092529297,294611379.849444449,299978648.912222207
0.092773438,294190129.317777753,299607031.975000024
0.093017578,293884621.363888860,299273042.064999998
0.093261719,293584591.992777765,298928548.400555551
0.093505859,293394712.630555570,298739100.539444447
0.093750000,294867982.095000029,300171034.121666670
0.093994141,292514849.824444473,297785233.398888886
0.094238281,291827187.527222216,297106176.474444449
0.094482422,291235570.032222211,296615272.817222238
0.094726562,290754971.949999988,296029720.852777779
0.094970703,290308234.486666679,295597414.175000012
0.095214844,289796218.608888865,295087636.597222209
0.095458984,289423024.434444427,294634049.551111102
0.095703125,289213223.386666656,294474166.620555580
0.095947266,288673185.321666658,293928111.823333323
0.096191406,288247901.136666656,293486791.842777789
0.096435547,287973447.917222202,293200139.867222250
0.096679688,287624491.384999990,292867584.626111090
0.096923828,287348412.539444447,292596170.017222226
0.097167969,286975585.538333356,292232492.327777803
0.097412109,286724981.856111109,291948849.479444444
0.097656250,287126900.357222199,292321367.961666644
0.097900391,286445170.236111104,291710820.879999995
0.098144531,286351074.856111109,291662720.842777789
0.098388672,286266364.107222199,291549710.768333316
0.098632812,286259721.627777755,291542746.009999990
0.098876953,286383826.171666682,291630414.750555575
0.099121094,286240623.726111114,291528953.151111126
0.099365234,285955982.363888860,291295211.770555556
0.099609375,319803235.891666651,325451733.243888915
0.099853516,5162791353.416110992,5204997903.149999619
0.100097656,7144632693.521666527,7201909426.104999542
0.100341797,459038221.285000026,465627560.681666672
0.100585938,286574044.353888869,292022022.852222204
0.100830078,286854832.405555546,292311000.238333344
0.101074219,287064415.634444416,292534541.906666696
0.101318359,287127297.547777772,292777922.802777767
0.101562500,287748317.855555534,293765001.343333304
0.101806641,286521997.584999979,292600999.505555570
0.102050781,285944910.174444437,291960426.814999998
0.102294922,285319985.204999983,291307496.795000017
0.102539062,284648956.404444456,290615488.772777796
0.102783203,283901662.285555542,289695076.328333318
0.103027344,283152001.675555527,288683409.097222209
0.103271484,282550859.101111114,287988160.972777784
0.103515625,282152234.541111112,287594328.860555530
0.103759766,281361098.790000021,286947976.623888910
0.104003906,280818663.547222197,286431925.276111126
0.104248047,280340509.672222197,286011965.547222197
0.104492188,279930638.246666670,285569159.123333335
0.104736328,279419545.192777753,284947534.757222235
0.104980469,278902683.717222214,284379671.712777793
0.105224609,278578840.608333349,284145355.594444454
0.105468750,278806585.664444447,284543695.415555537
0.105712891,277990572.477222204,283798052.617777765
0.105957031,277623243.579444468,283492679.182777762
0.106201172,277231272.691666663,283087799.094444454
0.106445312,276835337.631111085,282373983.808333337
0.106689453,276450546.439444423,281817698.334999979
0.106933594,276082886.269444466,281444148.283888876
0.107177734,275839204.384999990,281188119.671666682
0.107421875,275716885.071111083,281112074.429444432
0.107666016,275221683.689999998,280598096.837222219
0.107910156,274906512.201111138,280199178.475000024
0.108154297,274695224.744444430,279898355.716111124
0.108398438,274472474.608888865,279753154.667777777
0.108642578,274306314.315555573,279782360.596111119
0.108886719,274207360.787777781,280161218.352777779
0.109130859,274188872.249444425,280705115.740555584
0.109375000,275271099.582777798,281999419.696111083
0.109619141,273756895.449999988,280167855.223333359
0.109863281,274034590.162777781,280165996.103888869
0.110107422,273915982.143888891,279643907.435000002
0.110351562,272744372.321666658,277982821.549444437
0.110595703,272378697.170555532,277405513.853333354
0.110839844,272191847.879999995,277183597.226666689
0.111083984,272312777.987222195,278293816.504444420
0.111328125,272377282.321666658,278587147.072777748
0.111572266,272048937.973333359,278315435.527777791
0.111816406,271866669.627777755,278162870.786111116
0.112060547,271701123.813888907,277972034.572222233
0.112304688,271505267.538888872,277715555.693888903
0.112548828,271364788.358333349,277501335.442777753
0.112792969,271258500.043888867,277523913.442222238
0.113037109,271212052.771666646,277679343.227222204
0.113281250,271692564.037222207,278166588.634444416
0.113525391,271102821.370000005,277733612.531666696
0.113769531,271003546.536111116,277997659.323333323
0.114013672,271004801.834999979,278421745.620000005
0.114257812,270936134.677777767,278756414.673888862
0.114501953,270922516.194444418,278972119.342777789
0.114746094,270766360.423333347,279052189.865000010
0.114990234,270637005.861111104,278962172.651666641
0.115234375,270683122.024999976,279014786.307777762
0.115478516,270314691.760555565,278353385.618333340
0.115722656,270190054.901666641,278063623.026666641
0.115966797,270160420.645555556,278086435.900555551
0.116210938,270030367.198333323,277833675.111111104
0.116455078,269809144.859444439,277148025.067777753
0.116699219,269567447.293888867,276583696.199444473
0.116943359,269416366.765555561,276248514.750555575
0.117187500,269963476.374444425,276764480.394999981
0.117431641,268990721.590555549,275846815.223333359
0.117675781,268754912.844444454,275688830.922222197
0.117919922,268557914.096111119,275468308.669444442
0.118164062,268245002.511666656,274896178.897777796
0.118408203,267900268.998888880,274098013.550000012
0.118652344,267593935.928333342,273581301.457222223
0.118896484,267442862.842777789,273333995.991666675
0.119140625,267467765.426666677,273378547.805000007
0.119384766,267218583.832777768,273311419.770555556
0.119628906,267300793.139444441,273562133.754444420
0.119873047,283580572.228888869,291065612.204444468
0.120117188,284527234.548888862,291857388.234444439
0.120361328,266590003.136111110,271929617.660000026
0.120605469,265844003.436666667,270715996.845000029
0.120849609,265669535.844444454,270511605.621666670
0.121093750,266114050.541111112,270946574.893333316
0.121337891,265613596.183888882,270945911.916666687
0.121582031,265796018.651666671,272407497.543888867
0.121826172,267769844.453333348,279326969.647777796
0.122070312,266340684.197222233,274975121.833888888
0.122314453,265481016.830000013,272508597.307777762
0.122558594,265368822.277777791,272369002.157777786
0.122802734,265329103.171111107,272264189.993888915
0.123046875,265441045.032777786,272257477.937777758
0.123291016,265216983.898333341,271756716.521111131
0.123535156,265075997.514999986,271116070.577222228
0.123779297,264984376.067777783,270456870.624444425
0.124023438,265017609.944999993,270053768.009999990
0.124267578,265273353.186666667,270126923.271666646
0.124511719,265838362.022222221,270678296.729444444
0.124755859,267926233.704444438,272826363.297777772
0.125000000,270301326.809444427,275243115.383333325
0.125244141,269500643.407222211,274512307.268888891
0.125488281,269858100.759999990,274947541.013888896
0.125732422,269860089.182222247,275229292.333888888
0.125976562,269854587.647777796,275509563.982222199
0.126220703,269850028.227777779,275714644.805000007
0.126464844,269817196.858888865,275872028.610555530
0.126708984,269829480.183333337,276103866.312222242
0.126953125,269787342.774999976,276093775.436111093
0.127197266,269773576.572777748,275886256.977777779
0.127441406,269778120.106666684,275806618.211111128
0.127685547,269865148.808333337,275854047.761111140
0.127929688,269869642.461111128,275804530.980000019
0.128173828,269872213.873888910,275780836.736666679
0.128417969,269785490.664444447,275638985.615000010
0.128662109,269744653.592777789,275535233.199444473
0.128906250,269864708.472222209,275532286.244444430
0.129150391,269879565.508888900,275418951.502777755
0.129394531,269822253.619444430,275343581.573888898
0.129638672,269888075.453888893,275603238.982222199
0.129882812,271820868.383333325,278100023.321111083
0.130126953,271750911.954999983,278205477.637222230
0.130371094,269909642.548888862,275938903.160555542
0.130615234,269691068.497222245,274979266.636666656
0.130859375,269551067.110000014,274462194.680000007
0.131103516,268293886.447222233,273214978.620000005
0.131347656,267966525.692222208,272903547.828888893
0.131591797,269360875.083333313,274318438.456111133
0.131835938,269387209.231666684,274332262.565555573
0.132080078,269327173.088333309,274258729.509999990
0.132324219,269189959.716666639,274100280.349444449
0.132568359,269085353.891666651,274027219.345000029
0.132812500,268810279.796666682,273732236.182222247
0.133056641,268819178.068888903,273704109.293333352
0.133300781,268686351.051111102,273577962.552777767
0.133544922,268622403.475000024,273449794.600555539
0.133789062,268477435.721666694,273358136.858888865
0.134033203,268361392.439999998,273263959.551111102
0.134277344,268310611.775555551,273180242.348888874
0.134521484,268199537.016111106,273015273.851111114
0.134765625,267906428.344444454,272726429.675000012
0.135009766,267544331.462777764,272351533.832777798
0.135253906,267552677.027222216,272430278.487222195
0.135498047,267555039.003888875,272403941.338333309
0.135742188,267447898.517777771,272224117.591111124
0.135986328,267361053.718333334,272105378.697222233
0.136230469,267183771.633888900,271991402.347777784
0.136474609,267075664.169999987,271867418.035555542
0.136718750,267099811.293888897,271859346.417222202
0.136962891,267015642.425000012,271766441.201666653
0.137207031,266843672.025555551,271611753.649444461
0.137451172,266342403.637777776,271137114.667222202
0.137695312,266528262.107222229,271281230.958888888
0.137939453,266618463.254999995,271373836.917777777
0.138183594,266464743.362222224,271262525.631111085
0.138427734,266430505.906666666,271182685.810555577
0.138671875,266296797.262777776,271086525.507777750
0.138916016,266069869.878888875,270834922.903888881
0.139160156,265866742.990000010,270653999.894999981
0.139404297,266069854.973888874,270838783.971666694
0.139648438,267604283.508888900,272576611.124444425
0.139892578,336120082.996666670,348014253.963333309
0.140136719,323003040.498888910,333551047.131111085
0.140380859,266430134.957222223,271250182.786111116
0.140625000,265518659.625555545,270255560.826666653
0.140869141,265679163.428333342,270424561.477222204
0.141113281,265689572.523888886,270424082.533888876
0.141357422,265693340.653333336,270441290.125000000
0.141601562,265695937.949999988,270481815.154999971
0.141845703,265707293.955000013,270641732.446666658
0.142089844,265634056.587222219,270455773.689999998
0.142333984,265618091.915555567,270409450.928333342
0.142578125,265606209.702777773,270331517.792777777
0.142822266,265661661.344444454,270406804.989444435
0.143066406,265654160.569444448,270374914.061111093
0.143310547,265776875.591111124,270494012.362222195
0.143554688,265762179.708888888,270527643.304444432
0.143798828,265780495.681666672,270603742.828888893
0.144042969,265857832.346666664,270639833.038888872
0.144287109,265939980.703333348,270704259.218888879
0.144531250,266106457.009444445,270871005.602777779
0.144775391,266201817.706666678,270983439.383333325
0.145019531,266218134.923333347,270996734.551666677
0.145263672,266259270.690555543,271066092.279444456
0.145507812,266356574.202777773,271167036.806111097
0.145751953,266440969.126666665,271291312.208888888
0.145996094,266470658.477222234,271357525.694999993
0.146240234,266583943.336666673,271430029.049444437
0.146484375,266646059.651111126,271547959.906666696
0.146728516,266214286.325555563,271197423.953333318
0.146972656,266084081.851111114,271054688.230555534
0.147216797,266731580.791666657,271759541.272222221
0.147460938,266838772.997777790,271849214.951666653
0.147705078,266906063.168333322,271902265.788333356
0.147949219,266947372.983333319,271941926.728888869
0.148193359,266971270.592777789,272020923.692222238
0.148437500,266801796.642222226,271865511.400555551
0.148681641,266916993.360000014,271965816.652777791
0.148925781,266859563.153333336,271939100.088333309
0.149169922,266878483.439444453,271943481.137777805
0.149414062,266882629.523333341,271923379.282222211
0.149658203,267179102.049444437,272199825.839444458
0.149902344,277896670.011666656,283674853.466111124
0.150146484,274479434.300555527,280077138.589999974
0.150390625,266734181.574444443,271812660.684444427
0.150634766,266589070.993888885,271628263.016111135
0.150878906,266434434.091666669,271379053.743333340
0.151123047,266432754.578888893,271307879.200555563
